ra_rad,dec_rad,magnitude,bv
5.9891610126,-0.1322889624,3.730,1.626
0.4863384111,-0.1803804357,3.740,1.136
4.2844354045,0.3342851844,3.740,0.299
5.5623251075,0.6640160455,3.740,0.393
2.3743236008,-0.8220105800,3.750,1.174
4.6595608059,0.0472508823,3.750,0.043
1.4557149090,-1.0906531992,3.760,0.640
1.5329289598,-0.3644088412,3.760,0.984
1.6965378441,-0.1227500968,3.760,-0.113
4.9946216800,-0.3794606828,3.760,1.012
5.1038046205,0.9028549610,3.760,0.148
5.8961189620,0.8775950305,3.760,0.031
0.7448048909,0.9755604423,3.770,1.690
0.9825938161,0.7431358632,3.770,0.425
1.1472696509,0.3061746306,3.770,0.983
1.4780588366,-0.0453797620,3.770,-0.190
2.2066943350,-1.1543064894,3.770,1.132
2.2716603077,-0.8141741820,3.770,0.670
4.4060207505,-1.0304664384,3.770,1.562
5.4089415967,0.2777180456,3.770,-0.057
5.6141443243,-0.3911515411,3.770,1.002
5.7901768826,0.4423556454,3.770,0.435
1.8707630318,-1.2304384760,3.780,1.006
1.9448498592,0.4851680274,3.780,1.024
2.5786890551,1.0304203196,3.780,0.291
2.8514034991,-1.0271816044,3.780,0.945
3.8447386002,0.2396040388,3.780,0.044
5.4440129008,-0.1657325503,3.780,0.000
0.8268300973,0.7829118301,3.790,0.980
2.8506094507,0.5971621530,3.790,1.040
0.8380850471,-0.5059293772,3.800,0.543
2.0020287378,-0.4678151949,3.800,-0.159
4.0788452089,0.1839379255,3.800,0.268
5.0488117326,0.9314553318,3.800,0.950
5.2954674862,0.8157900813,3.800,1.270
1.2023168238,-0.5334134849,3.810,0.957
2.7396387639,-1.0251959842,3.810,0.317
4.1134917938,0.4589454508,3.810,0.020
6.1852869133,0.8108477122,3.810,0.984
0.5325304992,0.0482367022,3.820,0.024
2.4384175526,0.6423264861,3.820,0.066
3.0168208398,1.2100555469,3.820,1.613
4.3236767282,0.0346259903,3.820,0.022
4.6227872778,0.8029619654,3.820,-0.179
2.7318351615,-0.2938487012,3.830,1.456
3.6576480265,-0.7347967638,3.830,-0.224
3.8740290035,-1.3795911541,3.830,1.433
0.9782377563,-1.1310938276,3.840,1.133
0.9787756370,0.5635362392,3.840,0.022
1.1718790300,0.2785926083,3.840,0.952
2.3345847816,-1.0584481041,3.840,-0.104
2.7611597327,0.1624305597,3.840,-0.148
2.7807589195,-0.8416958540,3.840,0.300
3.2832611289,-1.2589581459,3.840,-0.157
4.7452993858,0.5020001246,3.840,-0.018
4.7724435490,-0.3675459840,3.840,0.195
5.1843740243,1.2264067383,3.840,0.888
1.1082917630,-0.7381759741,3.850,1.085
1.5153156553,-0.8912788072,3.850,0.171
1.6672861988,-0.5835752703,3.850,0.858
2.6822936820,-0.7351665677,3.850,0.051
3.2876918766,1.2180345245,3.850,-0.116
3.3061058538,-0.8472055736,3.850,0.049
4.1733131845,0.2733467798,3.850,0.478
4.8157910660,0.3799538500,3.850,1.168
4.8660089838,-0.1438862160,3.850,1.317
0.2476321701,0.6719403219,3.860,0.130
1.2137910801,-0.2496522405,3.860,1.082
1.4451873071,-0.6190773400,3.860,1.130
4.2561503229,-1.1115248313,3.860,1.105
4.3347717805,-1.3770149965,3.860,0.923
4.6960396112,0.6501445551,3.860,1.350
5.8540797645,-0.0242135025,3.860,-0.057
0.9853551087,0.4252974418,3.870,-0.063
2.2952277762,-0.8035762455,3.870,0.015
3.6594285675,-0.7819700581,3.870,-0.208
3.8530777946,-0.0987543345,3.870,0.385
4.1751968312,-0.5098817648,3.870,-0.199
5.2031441324,0.0175520873,3.870,0.630
0.0410596787,-0.7984432093,3.880,1.013
0.4953689125,0.3367412381,3.880,-0.047
2.5864202487,0.4539069312,3.880,1.222
3.9790674175,-0.8506354049,3.880,-0.029
6.0665830434,-0.7897040864,3.880,0.998
0.7698101254,-0.1553019172,3.890,1.088
1.8069941172,-0.4220941040,3.890,1.740
2.4188706354,0.0403918101,3.890,-0.060
3.2284487342,-0.0116379122,3.890,0.026
5.2198708187,0.6123212552,3.890,1.019
2.5300992272,-0.0199457991,3.900,1.313
2.9714537087,-0.9510476983,3.900,-0.157
3.5388484441,-0.6877872582,3.900,1.186
1.0609696512,0.1045330939,3.910,0.032
2.2063603251,-0.0681799536,3.910,-0.012
3.2639396937,-0.8766899644,3.910,-0.192
3.9493231738,-0.8211991435,3.910,-0.144
4.0820035128,-0.2581261110,3.910,1.007
4.2749251222,0.8083207296,3.910,-0.151
4.4518533774,0.5397675857,3.920,-0.018
5.0687531757,-0.3114923576,3.920,0.228
5.5668317436,0.0915921664,3.920,0.549
0.1143320176,-0.7623568403,3.930,0.175
0.3981577545,-0.8564802247,3.930,0.972
0.7603426016,0.9208789768,3.930,0.758
1.2056691954,-0.0585114476,3.930,-0.210
2.0150710100,-1.2672154674,3.930,1.033
2.9172736756,-1.0293085683,3.930,1.225
4.2184917985,-0.3607454617,3.930,-0.046
4.7152044634,0.0511655063,3.930,0.029
0.2983838461,-0.9642204111,3.940,-0.120
2.0125706489,-0.1666986802,3.940,1.022
2.0237434031,-0.5053570434,3.940,0.160
2.2893702006,0.3168524595,3.940,1.083
5.4854546840,0.7185020582,3.940,0.027
0.5385914915,1.2639900329,3.950,-0.002
1.7308601237,-0.3360784917,3.950,1.037
3.5078490631,0.9585430452,3.950,0.130
1.0849901115,0.8327404401,3.960,-0.025
1.5670730511,-0.7472650817,3.960,1.146
2.3589919415,0.7292493665,3.960,0.463
2.4054088203,-1.0876364292,3.960,-0.180
5.0729660551,-0.7759553135,3.960,-0.085
5.0784114559,-0.7088818789,3.960,-0.105
5.3034971216,0.8327700319,3.960,1.451
6.1216137210,-0.3508213031,3.960,1.082
1.1520779014,-0.5937059698,3.970,1.468
1.5336642687,0.6832698775,3.970,1.132
1.9060325066,-1.1860760474,3.970,0.760
2.2693746966,-0.6162470015,3.970,0.936
3.1924345841,-0.9140020551,3.970,-0.156
